,en,de
0,"Two young, White males are outside near many bushes.",Zwei junge weiße Männer sind im Freien in der Nähe vieler Büsche.
1,Several men in hard hats are operating a giant pulley system.,Mehrere Männer mit Schutzhelmen bedienen ein Antriebsradsystem.
2,A little girl climbing into a wooden playhouse.,Ein kleines Mädchen klettert in ein Spielhaus aus Holz.
3,A man in a blue shirt is standing on a ladder cleaning a window.,Ein Mann in einem blauen Hemd steht auf einer Leiter und putzt ein Fenster.
4,Two men are at the stove preparing food.,Zwei Männer stehen am Herd und bereiten Essen zu.
5,A man in green holds a guitar while the other man observes his shirt.,"Ein Mann in grün hält eine Gitarre, während der andere Mann sein Hemd ansieht."
6,A man is smiling at a stuffed lion,Ein Mann lächelt einen ausgestopften Löwen an.
7,A trendy girl talking on her cellphone while gliding slowly down the street.,Ein schickes Mädchen spricht mit dem Handy während sie langsam die Straße entlangschwebt.
8,A woman with a large purse is walking by a gate.,Eine Frau mit einer großen Geldbörse geht an einem Tor vorbei.
9,Boys dancing on poles in the middle of the night.,Jungen tanzen mitten in der Nacht auf Pfosten.
10,A ballet class of five girls jumping in sequence.,"Eine Ballettklasse mit fünf Mädchen, die nacheinander springen."
11,Four guys three wearing hats one not are jumping at the top of a staircase.,"Vier Typen, von denen drei Hüte tragen und einer nicht, springen oben in einem Treppenhaus."
12,A black dog and a spotted dog are fighting,Ein schwarzer Hund und ein gefleckter Hund kämpfen.
13,A man in a neon green and orange uniform is driving on a green tractor.,Ein Mann in einer neongrünen und orangefarbenen Uniform fährt auf einem grünen Traktor.
14,Several women wait outside in a city.,Mehrere Frauen warten in einer Stadt im Freien.
15,A lady in a black top with glasses is sprinkling powdered sugar on a bundt cake.,Eine Frau mit schwarzem Oberteil und Brille streut Puderzucker auf einem Gugelhupf.
16,A little girl is sitting in front of a large painted rainbow.,Ein kleines Mädchen sitzt vor einem großen gemalten Regenbogen.
17,A man lays on the bench to which a white dog is also tied.,"Ein Mann liegt auf der Bank, an die auch ein weißer Hund angebunden ist."
18,Five people are sitting in a circle with instruments.,Fünf Personen sitzen mit Instrumenten im Kreis.
19,A bunch of elderly women play their clarinets together as they read off sheet music.,Eine Gruppe älterer Frauen spielt zusammen Klarinette von Notenblättern.
20,A large structure has broken and is laying in a roadway.,Ein großes Bauwerk ist kaputt gegangen und liegt auf einer Fahrbahn.
21,A large crowd of people stand outside in front of the entrance to a Metro station.,Eine große Menschenmenge steht außen vor dem Eingang einer Metrostation.
22,A man getting a tattoo on his back.,"Ein Mann, der ein Tattoo auf seinem Rücken erhält."
23,Two children sit on a small seesaw in the sand.,Zwei Kinder sitzen auf einer kleinen Wippe im Sand.
24,A man wearing a reflective vest and a hard hat holds a flag in the road,"Ein Mann, der eine reflektierende Weste und einen Schutzhelm trägt, hält eine Flagge in die Straße."
25,"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",Eine Person in einem blauen Mantel steht auf einem belebten Gehweg und betrachtet ein Gemälde einer Straßenszene.
26,A man in green pants walking down the road.,Ein Mann in grünen Hosen läuft die Straße entlang.
27,The small child climbs on a red ropes on a playground.,Das kleine Kind klettert an roten Seilen auf einem Spielplatz.
28,You know i am looking like Justin Bieber.,"Du weißt, dass ich aussehe wie Justin Bieber."
29,A young man in a black and yellow jacket is gazing at something and smiling.,Ein junger Mann in einer schwarz-gelben Jacke blickt etwas an und lächelt.
30,A man standing at a urinal with a coffee cup.,"Ein Mann, der mit einer Tasse Kaffee an einem Urinal steht."
31,Five people walking with a multicolored sky in the background.,Fünf gehende Personen mit einem mehrfarbigen Himmel im Hintergrund.
32,A old man having a beer alone.,"Ein alter Mann, der allein ein Bier trinkt."
33,A trained police dog sits next to his handler in front of the police van.,Ein geschulter Polizeihund sitzt neben dem Hundeführer vor dem Polizeitransporter.
34,A person riding a bike on a snowy road.,Eine Person fährt auf einer verschneiten Straße Fahrrad.
35,"Five men, uniformly dressed in white shirts, tie and black slacks converse at the back of an open van.","Fünf Männer, die alle weiße Hemden, Krawatten und schwarze Freizeithosen tragen, unterhalten sich hinter einem Lieferwagen."
36,A man with a backwards hat works on machinery.,Ein Mann mit einem nach hinten gerichteten Hut arbeitet an Maschinen.
37,A black woman and a white man working in a factory setting packing jars with candles into boxes.,Eine schwarze Frau und ein weißer Mann arbeiten in einer Fabrikumgebung und packen Gläser mit Kerzen in Kartons.
38,Asian man sweeping the walkway.,Ein asiatischer Mann kehrt den Gehweg.
39,"A man leans into a car to talk to the driver, as a man on a bicycle looks on.","Ein Mann lehnt sich in ein Auto, um mit dem Fahrer zu reden, während ein Mann auf einem Fahrrad zusieht."
40,Two young toddlers outside on the grass.,Zwei Kleinkinder im Freien auf dem Gras.
41,People are watching a person in a weird vehicle in a plaza.,Leute sehen einer Person in einem seltsamen Fahrzeug auf einem Platz zu.
42,A man walks by a silver vehicle.,Ein Mann geht an einem silbernen Fahrzeug vorbei.
43,A beautiful bride walking on a sidewalk with her new husband.,Eine schöne Braut geht auf einem Gehweg mit ihrem neuen Ehemann.
44,A little boy playing GameCube at a McDonald's.,Ein kleiner Junge spielt bei McDonald's GameCube.
45,A white dog shakes on the edge of a beach with an orange ball.,Ein weißer Hund schüttelt sich am Rande eines Strands mit einem orangefarbenen Ball.
46,A group of people having a barbecue at a park.,"Eine Gruppe von Personen, die im Park grillen."
47,A man in sunglasses puts his arm around a woman in a black and white blouse.,Ein Mann mit Sonnenbrille legt seinen Arm um eine Frau in einer schwarz-weißen Bluse.
48,A man with a balloon hat and people eating outdoors at picnic tables.,"Ein Mann mit einem Luftballonhut und Leute, die im Freien an Picknicktischen essen."
49,A boy jump kicking over three kids kicking wood during a tae kwon do competition.,"Ein Junge, der während eines Taekwondo-Wettbewerbs einen Sprungtritt über drei Kinder macht und dabei auf Holz tritt."
50,A boy in a red jacket pouring water on a man in a white shirt,"Ein Junge in einer roten Jacke, der Wasser auf einen Mann in einem weißen Hemd gießt."
51,A man with a red jacket is shielding himself from the sun trying to read a piece of paper.,"Ein Mann mit einer roten Jacke, der sich vor der Sonne schützt und versucht, ein Stück Papier zu lesen."
52,Men walking down a street with children.,"Männer, die eine Straße mit Kindern entlang laufen."
53,A little boy is standing on the street while a man in overalls is working on a stone wall.,"Ein kleiner Junge, der auf der Straße steht, während ein Mann in einem Overall an einer Steinwand arbeitet."
54,A black dog leaps over a log.,Ein schwarzer Hund springt über einen Baumstamm.
55,"A man in a suit is running past two other gentleman, also dressed in a suit.","Ein Mann in einem Anzug rennt an zwei anderen Herren vorbei, die auch einen Anzug tragen."
56,Man in a red shirt riding his bicycle around water.,"Ein Mann in einem roten Hemd, der mit dem Fahrrad um Wasser herum fährt."
57,A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup.,"Ein Mann, der barfuß ist, olivgrüne kurze Hosen trägt, auf einem kleinen Propangasgrill Hotdogs grillt und gleichzeitig eine blaue Kunststofftasse hält."
58,A dog is running in the snow,Ein Hund rennt im Schnee.
59,A crowd is standing and waiting for the green light.,"Eine Menschenmenge steht und wartet, bis die Ampel grün wird."
60,Man on skis looking at artwork for sale in the snow,"Mann auf Skiern, das zu verkaufende Kunstwerke im Schnee betrachtet."
61,Seven climbers are ascending a rock face whilst another man stands holding the rope.,"Sieben Kletterer klettern eine Felswand hoch, während ein anderer Mann dasteht und das Seil hält."
62,The young gymnast's supple body soars above the balance beam.,Der gelenkige Körper des jungen Turners schwebt über dem Schwebebalken.
63,A young boy is pushing a toy ATV around a rubber pool,Ein Junge schiebt ein Spielzeug-Geländefahrzeug um einen Gummi-Pool.
64,Woman in red windbreaker looking though a rooftop binoculars at the city below.,"Eine Frau in einer roten Windjacke, die über ein auf einem Dach installiertes Fernrohr auf die darunterliegende Stadt blickt."
65,A man is standing in front of a small red object that looks like a plane.,"Ein Mann steht vor einem kleinen roten Objekt, das wie ein Flugzeug aussieht."
66,A dog is playing with a hose.,Ein Hund spielt mit einem Schlauch.
67,A man and a little girl happily posing in front of their cart in a supermarket.,Ein Mann und ein kleines Mädchen posieren glücklich vor ihrem Einkaufswagen im Supermarkt.
68,A white dog is about to catch a yellow dog toy.,"Ein weißer Hund ist kurz davor, ein gelbes Hundespielzeug zu fangen."
69,Guy in green shirt with hand covering part of his face in restaurant booth.,"Ein Kerl in einem grünen Hemd, dessen Hand einen Teil seines Gesichts bedeckt, in einer Nische im Restaurant."
70,A black and white dog jumps up towards a yellow toy.,Ein schwarz-weißer Hund spring zu einem gelben Spielzeug hoch.
71,Two hikers resting by a patch of snow.,Zwei Wanderer machen bei einem Stückchen Schnee Pause.
72,A man showing off his new wooden creation.,Ein Mann führt seine neue hölzerne Kreation vor.
73,A elderly father and his grown son are preparing for a camping trip in the wild.,Ein älterer Vater und sein erwachsener Sohn bereiten sich auf einen Camping-Ausflug in der Wildnis vor.
74,A bearded traveler in a red shirt sitting in a car and reading a map.,"Ein Reisender mit Bart in einem roten Hemd, der in einem Auto sitzt und eine Karte liest."
75,A young boy waves his hand at the duck in the water surrounded by a green park.,"Ein Junge winkt einer Ente im Wasser zu, umgeben von einer Grünanlage."
76,A couple sit on the grass with a baby and stroller.,Ein Paar sitzt mit Baby und Sportwagen im Gras.
77,Some men standing in front of a building next to a parked car.,Ein paar Männer stehen vor einem Gebäude neben einem parkenden Auto.
78,The black dog runs through the water.,Der schwarze Hund rennt durch das Wasser.
79,A man is drilling through the frozen ice of a pond.,Ein Mann bohrt durch das gefrorene Eis eines Teichs.
80,Two large tan dogs play along a sandy beach.,Zwei große lohfarbene Hunde spielen an einem sandigen Strand.
81,A person in blue and red ice climbing with two picks.,"Eine Person in blau und rot, die mit zwei Pickeln eisklettert."
82,Three people walking on a path in a meadow.,"Drei Personen, die auf einem Pfad in einer Wiese gehen."
83,"A man in black attire shovels snow into the street, disregarding all public safety.",Ein Mann in Schwarz schaufelt Schnee auf die Straße und ignoriert dabei die öffentliche Sicherheit.
84,A couple stands behind their wedding cake.,Ein Paar steht hinter seiner Hochzeitstorte.
85,A wet black dog is carrying a green toy through the grass.,Ein nasser schwarzer Hund trägt ein grünes Spielzeug durch das Gras.
86,Villagers selling their crops at the market.,Dorfbewohner verkaufen ihre Ernte auf dem Markt.
87,In a crowded concert a man in white is approaching the main singer who is wearing a yellow shirt.,"In einem vollen Konzert nähert sich ein Mann dem Hauptsänger, der ein gelbes Hemd trägt."
88,A boy jumps on his skateboard while a crowd watches,"Ein Junge springt auf seinem Skateboard, und eine Menschenmenge sieht zu."
89,A man and a baby are in a yellow kayak on water.,Ein Mann und ein Baby befinden sich in einem gelben Kajak auf dem Wasser.
90,"Two people are sitting on a bench, and one women is standing by them.","Zwei Personen sitzen auf einer Bank, und eine Frau steht neben ihnen."
91,A construction site on a street with three men working.,Eine Baustelle auf einer Straße mit drei arbeitenden Männern.
92,"Two men sitting on a bench talking, with a billboard advertisement for glasses in the background.","Zwei Männer sitzen auf einer Bank und reden, im Hintergrund eine Reklamefläche mit Werbung für Brillen."
93,A group of youths march down the street waving flags showing the color spectrum.,"Eine Gruppe Jugendlicher geht die Straße entlang und schwenkt Fahnen, die das Farbspektrum zeigen."
94,Three old men are watching another man prepare fish.,"Drei alte Männer sehen einem anderen Mann zu, wie er Fisch zubereitet."
95,"A woman in a white tank top with a green flowing skirt, on stage singing a song.","Eine Frau einem einem weißen Pullunder mit einem grünen, wallenden Rock ein Lied singend auf der Bühne."
96,Two men and two women sitting on steps outdoors.,"Zwei Männer und zwei Frauen, die auf Treppenstufen im Freien sitzen."
97,A brown and black lab are outside and the black lab is catching a toy in its mouth.,"Ein brauner und ein schwarzer Labrador im Freien, wobei der schwarze Labrador ein Spielzeug in seinem Maul hat."
98,"Hockey goalie boy in red jacket crouches by goal, with stick.",Junger männlicher Hockey-Goalie in roter Jacke duckt sich mit Stock beim Tor.
99,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading.,Der Mann mit dem Rucksack sitzt im Hof eines Gebäudes vor einer Skulptur und liest.
100,Toddler boy in a red hat holding on to some railings.,"Männliches Kleinkind in einem roten Hut, das sich an einem Geländer festhält."
101,Three dogs stand in a grassy field while a person kneels nearby.,Drei Hunde stehen auf einer Wiese und eine Person kniet in der Nähe.
102,A man is standing in front of a skyscraper,Ein Mann steht vor einem Hochhaus.
103,A woman is walking her baby with a stroller at the local park.,Eine Frau fährt ihr Baby in einem Sportwagen im örtlichen Park spazieren.
104,A man in a red shirt is sitting by fruit for sale.,"Ein Mann in einem roten Hemd sitzt neben Obst, das zu verkaufen ist."
105,A young blond-haired boy and a dark-haired girl are eating at a kid's table.,Ein blondhaariger Junge und ein dunkelhaariges Mädchen essen an einem Kindertisch.
106,The boy eats his food outside at the table.,Der Junge isst sein Essen draußen am Tisch.
107,A man wearing black is playing an electric guitar at a concert.,Ein Mann in Schwarz spielt auf einem Konzert eine Elektrogitarre.
108,A girl playing softball hits the ball almost directly downwards,"Ein Mädchen, das Softball spielt, schlägt den Ball fast senkrecht nach unten."
109,A man in a black shirt plays a black-colored guitar.,Ein Mann in einem schwarzen Hemd spielt eine schwarze Gitarre.
110,A man wearing a black shirt smoothing out concrete in an urban area.,"Ein Mann, der ein schwarzes Hemd trägt und in einer städtischen Umgebung Beton glättet."
111,A woman in a white shirt is sitting at a table in a nice restaurant.,Eine Frau in einem weißen Rock sitzt an einem Tisch in einem hübschen Restaurant.
112,A woman is laying on a red blanket in a park.,Eine Frau liegt auf einer roten Decke in einem Park.
113,A solitary man stand on a bridge in the evening.,Ein einzelner Mann steht abends auf einer Brücke.
114,A child walks in a grassy field.,Ein Kind geht durch eine Wiese.
115,A man and his dog are grilling green beans on a grill.,Ein Mann und sein Hund grillen grüne Bohnen auf einem Grill.
116,Three people rest on a ledge above the moutains.,Drei Personen machen auf einem Felsvorsprung über den Bergen Rast.
117,Many people cross a very tall footbridge with a tree-covered hill in the background.,Viele Menschen überqueren eine sehr hohe Fußbrücke mit einem baumbewachsenen Hügel im Hintergrund.
118,A young boy overlooking a crowd of inflatable boats.,Ein Junge blickt auf eine Ansammlung von Schlauchbooten.
119,Two little girls and an old man have a conversation.,Zwei kleine Mädchen und ein alter Mann unterhalten sich.
120,"Asian man and blond woman holding hands outdoors, man in background watches.","Ein asiatischer Mann und eine blonde Frau, die Händchen halten, im Freien, ein Mann im Hintergrund sieht zu."
121,An older man with gray hair is sitting in a chair playing a large instrument made of bamboo.,"Ein älterer Mann mit grauem Haar, der in einem Stuhl sitzt und ein großes Instrument aus Bambus spielt."
122,A man in a white shirt rides a bicycle on a busy street.,Ein Mann in einem weißen Hemd fährt auf einer belebten Straße Fahrrad.
123,A man is standing on a ladder painting bricks,Ein Mann steht auf einer Leiter und malt Ziegel.
124,A 30 somethings man playing with his phone on a subway train.,Ein Mann in den Dreißigern spielt in einer U-Bahn mit seinem Telefon.
125,Two women are walking in a crosswalk with a bus in the background.,Zwei Frauen gehen über einen Fußgängerübergang mit einem Bus im Hintergrund.
126,A group of people are eating noddles.,Eine Gruppe von Leuten isst Nudeln.
127,A woman is carrying a bowl full of fruit on her head near the ocean side.,Eine Frau in der Nähe des Meeres trägt eine Schale voller Obst auf ihrer Hand.
128,A guy wearing blue in a hole.,"Ein Typ, der blau trägt, in einem Loch."
129,Four children are smiling as they pose together with a bicycle that is much too big for them.,"Vier Kinder lächeln, während sie zusammen mit einem Fahrrad posieren, das viel zu groß für sie ist."
130,"Two individuals, a male and a female, standing in a forested area around a tub.","Zwei Personen, eine männlich und eine weiblich, stehen in einem Waldgebiet um eine Wanne herum."
131,A sleeping baby is in someone's arms and wearing a pink striped outfit,Ein schlafenden Baby liegt jemandem im Arm und trägt ein Outfit mit rosafarbenen Streifen.
132,A member of an African tribe is watching the camera intently in tribal dress.,Ein Mitglied eines afrikanischen Stamms in Stammeskleidung blickt konzentriert in die Kamera.
133,A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat.,Ein Samurai-Krieger ganz in Schwarz auf einer Übungsmatte im Freien nimmt sein Schwert aus der Scheide.
134,Several young people sitting on a rail above a crowded beach.,Mehrere junge Leute sitzen auf einem Geländer über einem überfüllten Strand.
135,"Five hikers, one facing towards the camera and the others facing away from it, are walking through a rocky riverbed.","Fünf Wanderer, von denen einer in Richtung Kamera blickt und die anderen von der Kamera weg, gehen durch ein steiniges Flussbett."
136,"A security guard stands by a metal, lighted sculpture.",Ein Wachmann steht neben einer beleuchteten Metallskulptur.
137,"Two women, one in green and the other in purple, washing a sidewalk.","Zwei Frauen, eine in Grün und die andere in Violett, die einen Gehsteig abwaschen."
138,Two girls crouch in front of some bushes and talk on their phones.,Zwei Mädchen ducken sich vor ein paar Büschen und sprechen in ihre Telefone.
139,A young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house,"Ein junges Mädchen, das mehrfarbig gekleidet ist, einen orangefarbenen Ball in der rechten Hand trägt und hinter einem Haus durch leuchtend grünes Gras geht."
140,A young child playing with a toy while laying on the floor.,Ein kleines Kind liegt auf dem Boden und spielt mit einem Spielzeug.
141,A little boy skateboarder is doing a trick on his board while another young skateboarder watches.,"Ein kleiner Junge führt ein Kunststück auf seinem Skateboard aus, während ein anderer junger Skateboarder zusieht."
142,Two kids are laughing in the grass.,Zwei Kinder im Gras lachen.
143,"Young woman holding a bottle, reaching out from a bench to shake a man's hand.","Eine junge Frau, die eine Flasche hält, streckt von einer Bank aus ihre Hand aus, um einem Mann die Hand zu schütteln."
144,A driver communicating on his walkie talkie.,Ein Fahrer kommuniziert mit seinem Walkie-Talkie.
145,"A girl paddling down a large river, as seen from behind her.","Ein Mädchen, das einen großen Fluss hinunterpaddelt, von hinten gesehen."
146,A girl with pigtails plays in the water.,Ein Mädchen mit Zöpfen spielt im Wasser.
147,A couple wearing white sweaters sit at a restaurant table.,Ein Paar mit weißen Pullovern sitzt an einem Restauranttisch.
148,A meal is on a table in a restaurant.,In einem Restaurant steht eine Mahlzeit auf dem Tisch.
149,Two construction workers take a seat on a steel beam.,Zwei Bauarbeiter sitzen auf einem Stahlbalken.
150,A child happily mixing batter in a bowl.,"Ein Kind, das strahlend einen Teig in einer Schüssel rührt."
